Time and date,GPU temperature,GPU usage,Memory usage,Power percent,RAM usage,Framerate
15-01-2025 20:01:32,70,98,4748.117,78,17728,237.2
15-01-2025 20:01:33,70,98,4748.242,79,17725,245.3
15-01-2025 20:01:34,70,98,4747.68,78,17731,246.8
15-01-2025 20:01:35,70,98,4747.68,78,17729,235.6
15-01-2025 20:01:36,70,98,4747.68,79,17748,236.8
15-01-2025 20:01:37,70,98,4747.68,78,17747,245.7
15-01-2025 20:01:38,70,98,4747.68,78,17748,243.1
15-01-2025 20:01:39,70,98,4747.68,79,17749,238.8
15-01-2025 20:01:40,71,98,4747.68,78,17747,241.2
15-01-2025 20:01:41,71,98,4747.68,79,17745,240.1
15-01-2025 20:01:42,71,98,4747.68,77,17756,237.7
15-01-2025 20:01:43,71,98,4747.68,81,17752,245.6
15-01-2025 20:01:44,71,98,4747.68,79,17749,241
15-01-2025 20:01:45,71,98,4747.68,79,17743,242.8
15-01-2025 20:01:46,71,98,4747.68,79,17750,243
15-01-2025 20:01:47,71,98,4747.68,80,17752,248.6
15-01-2025 20:01:48,72,98,4747.68,81,17752,246
15-01-2025 20:01:49,71,98,4747.68,79,17750,239.8
15-01-2025 20:01:50,72,98,4747.68,79,17750,232.8
15-01-2025 20:01:51,72,98,4747.68,80,17749,237.9
15-01-2025 20:01:52,72,98,4747.68,79,17749,238.6
15-01-2025 20:01:53,72,98,4747.68,79,17748,242.6
15-01-2025 20:01:54,72,98,4752.184,80,17747,240.6
15-01-2025 20:01:55,72,98,4752.309,75,17747,238.3
15-01-2025 20:01:56,72,98,4752.309,78,17722,238.3
15-01-2025 20:01:57,72,98,4752.309,78,17717,239.7
15-01-2025 20:01:58,72,98,4752.309,77,17713,240
15-01-2025 20:01:59,72,98,4752.309,78,17711,237.6
15-01-2025 20:02:00,72,98,4754.934,77,17699,238.7
15-01-2025 20:02:01,72,98,4754.934,74,17697,230.3
15-01-2025 20:02:02,72,98,4770.676,79,17698,219
15-01-2025 20:02:03,72,98,4771.074,77,17699,229.5
15-01-2025 20:02:04,72,98,4771.262,79,17687,229.4
15-01-2025 20:02:05,72,98,4771.262,77,17683,226.3
15-01-2025 20:02:06,72,98,4772.004,80,17681,227.8
15-01-2025 20:02:07,72,98,4772.004,79,17654,225.5
15-01-2025 20:02:08,72,98,4772.156,80,17649,224
15-01-2025 20:02:09,72,98,4773.371,76,17652,225.2
15-01-2025 20:02:10,72,98,4775.246,77,17659,216.9
15-01-2025 20:02:11,72,97,4775.246,79,17654,213.8
15-01-2025 20:02:12,73,98,4775.121,78,17657,230.7
15-01-2025 20:02:13,72,98,4775.121,77,17657,220.4
15-01-2025 20:02:14,73,98,4775.121,80,17656,228.4
15-01-2025 20:02:15,73,98,4775.246,78,17656,219.5
15-01-2025 20:02:16,73,98,4775.246,78,17654,219.7
15-01-2025 20:02:17,73,97,4775.246,79,17652,218.2
15-01-2025 20:02:18,73,98,4775.246,80,17653,219
15-01-2025 20:02:19,73,97,4775.246,76,17652,212.5
15-01-2025 20:02:20,73,86,4775.121,73,17650,183.9
15-01-2025 20:02:21,73,98,4775.121,78,17651,232.9
15-01-2025 20:02:22,73,98,4775.121,78,17652,239.9
15-01-2025 20:02:23,73,98,4775.121,76,17656,237.5
15-01-2025 20:02:24,73,98,4775.246,79,17658,239
15-01-2025 20:02:25,73,93,4775.246,78,17657,237.7
15-01-2025 20:02:26,73,98,4775.246,76,17656,230.3
15-01-2025 20:02:27,73,98,4775.473,78,17659,222.3
15-01-2025 20:02:28,73,98,4775.348,77,17661,218.9
15-01-2025 20:02:29,73,98,4775.348,79,17662,221.1
15-01-2025 20:02:30,73,98,4775.629,79,17665,221.6
15-01-2025 20:02:31,73,98,4775.754,78,17662,205.5
15-01-2025 20:02:32,73,98,4775.754,78,17659,217.1
15-01-2025 20:02:33,73,98,4775.754,76,17656,224.2
